id	name	doi	pmid	source	method.type	comment	missing information	authors
0041	CS23			PredRet	RP		column length, ID and particle size; temperature, flow rate	
0042	CS24			PredRet	RP			
0043	C18_SOP3			PredRet	RP		column length, ID and particle size; temperature, gradient and flow rate	
0044	HILIC_BDD_2			PredRet	HILIC		column length, ID and particle size	
0045	Bade_Publi	https://www.sciencedirect.com/science/article/pii/S0048969715305817?via%3Dihub		PredRet	RP		temperature	
0046	Waters_Chiu_T3_pos			PredRet	RP		column length, ID and particle size; temperature	
0047	Acquity HSST3-RP-60mn			PredRet	RP		column length, ID and particle size; temperature	
0048	BDD_C18			PredRet	RP		column length and ID	
0049	CS2			PredRet	RP		column length and ID	
0050	CS1			PredRet	RP		temperature	
0051	CS17			PredRet	RP		temperature	
0052	CS14			PredRet	RP		temperature	
0053	CS20			PredRet	RP		temperature	
0054	LIFE_old	10.1016/j.aca.2011.12.065		PredRet	RP		temperature and flow rate	
0055	LIFE_new	10.1016/j.aca.2011.12.065		PredRet	RP		column length, ID and particle size; temperature and flow rate	
0056	CS4			PredRet	RP		temperature	
0057	CS5			PredRet	RP	column name not specific	temperature	
0058	CS18			PredRet	RP		temperature	
0059	CS19			PredRet	RP		temperature	
0060	CS22			PredRet	RP		column length, ID and particle size; temperature, gradient and flow rate	
0061	cuw			PredRet	RP	unknown amount of solvent	temperature, gradient and flow rate	
0062	JP_RP			PredRet	RP		temperature, gradient and flow rate	
0063	RPMMFDA			PredRet	RP		column length, ID and particle size; temperature, gradient and flow rate	
0064	RPFDAMM			PredRet	RP		column length, ID and particle size; temperature, gradient and flow rate	
0065	RP1 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0066	RP2 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0067	RP3 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0068	RP4 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0069	RP5 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0070	RP6 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0071	RP7 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0072	RP8 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0073	RP9 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0074	RP10 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0075	RP11 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0076	RP12 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0077	RP13 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0078	RP14 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0079	RP15 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0080	RP16 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0081	RP17 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0082	RP18 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0083	RP19 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0084	RP20 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0085	RP21 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0086	RP22 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0087	RP23 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0088	RP24 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0089	RP25 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0090	RP26 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0091	RP27 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0092	RP28 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0093	RP29 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0094	RP30 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0095	RP31 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0096	RP32 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0097	RP33 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0098	RP34 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0099	RP35 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0100	RP36 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0101	RP37 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0102	RP38 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0103	HILIC1 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0104	HILIC2 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0105	HILIC3 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0106	HILIC4 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0107	HILIC5 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0108	HILIC6 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0109	HILIC7 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0110	HILIC8 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0111	HILIC9 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0112	HILIC10 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0113	HILIC11 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0114	HILIC12 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0115	HILIC13 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0116	HILIC14 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0117	HILIC15 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0118	HILIC16 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0119	HILIC17 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0120	HILIC18 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0121	HILIC19 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0122	RP1 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0123	RP2 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0124	RP3 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0125	RP4 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0126	RP5 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0127	RP6 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0128	RP7 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0129	RP8 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0130	RP9 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0131	RP10 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0132	RP11 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0133	RP12 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0134	RP13 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0135	RP14 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0136	RP15 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0137	RP16 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0138	RP17 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0139	RP18 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0140	RP19 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0141	RP20 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0142	RP21 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0143	RP22 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0144	RP23 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0145	RP24 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0146	RP25 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0147	RP26 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0148	RP27 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0149	RP28 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0150	RP29 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0151	RP30 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0152	RP31 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0153	RP32 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0154	RP33 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0155	RP34 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0156	RP35 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0157	RP36 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0158	RP37 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0159	RP38 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0160	HILIC1 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0161	HILIC2 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0162	HILIC3 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0163	HILIC4 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0164	HILIC5 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0165	HILIC6 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0166	HILIC7 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0167	HILIC8 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0168	HILIC9 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0169	HILIC10 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0170	HILIC11 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0171	HILIC12 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0172	HILIC13 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0173	HILIC14 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0174	HILIC15 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0175	HILIC16 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0176	HILIC17 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0177	HILIC18 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0178	HILIC19 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
0179	RP Geneva DB maXisQTOF pos			Dataset	RP			S. Rudaz
0180	RP Geneva DB maXisQTOF neg			Dataset	RP			S. Rudaz
0181	RP VION QTOF pos			Dataset	RP	sometimes two RTs		S. Rudaz
0182	RP VION QTOF new			Dataset	RP	sometimes two RTs		S. Rudaz
0183	aHILIC Geneva DB maXisQTOF pos	https://doi.org/10.1016/j.chroma.2019.01.023	30685186	Publication	HILIC			J. Pezzatti, V. González-Ruiz, S. Codesido, Y. Gagnebin, A. Joshi, D. Guillarme, J. Schappler, D. Picard, J. Boccard, S. Rudaz
0184	aHILIC Geneva DB maXisQTOF neg	https://doi.org/10.1016/j.chroma.2019.01.023	30685186	Publication	HILIC			J. Pezzatti, V. González-Ruiz, S. Codesido, Y. Gagnebin, A. Joshi, D. Guillarme, J. Schappler, D. Picard, J. Boccard, S. Rudaz
0185	zHILIC Geneva DB VION QTOF neg	https://doi.org/10.1016/j.chroma.2019.01.023	30685186	Publication	HILIC			J. Pezzatti, V. González-Ruiz, S. Codesido, Y. Gagnebin, A. Joshi, D. Guillarme, J. Schappler, D. Picard, J. Boccard, S. Rudaz
0186	SMRT_METLIN	https://doi.org/10.1038/s41467-019-13680-7		Publication	RP			Xavier Domingo-Almenara, Carlos Guijas, Elizabeth Billings, J. Rafael Montenegro-Burke, Winnie Uritboonthai, Aries E. Aisporna, Emily Chen, H. Paul Benton, Gary Siuzdak
0187	Standard_pos			Publication	RP			R. Stoffel, M. Quilliam, N. Hardt, A. Fridstrom, M. Witting
0188	Standard_neg			Publication	RP			R. Stoffel, M. Quilliam, N. Hardt, A. Fridstrom, M. Witting
0189	flow0.2_pos			Publication	RP			R. Stoffel, M. Quilliam, N. Hardt, A. Fridstrom, M. Witting
0190	flow0.2_neg			Publication	RP			R. Stoffel, M. Quilliam, N. Hardt, A. Fridstrom, M. Witting
0191	flow0.25_pos			Publication	RP			R. Stoffel, M. Quilliam, N. Hardt, A. Fridstrom, M. Witting
0192	flow0.25_neg			Publication	RP			R. Stoffel, M. Quilliam, N. Hardt, A. Fridstrom, M. Witting
0193	flow0.35_pos			Publication	RP			R. Stoffel, M. Quilliam, N. Hardt, A. Fridstrom, M. Witting
0194	flow0.35_neg			Publication	RP			R. Stoffel, M. Quilliam, N. Hardt, A. Fridstrom, M. Witting
0195	flow0.4_pos			Publication	RP			R. Stoffel, M. Quilliam, N. Hardt, A. Fridstrom, M. Witting
