id	name	doi	pmid	source	method.type	comment	missing information	authors
80	RP16 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
81	RP17 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
82	RP18 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
83	RP19 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
84	RP20 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
85	RP21 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
86	RP22 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
87	RP23 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
88	RP24 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
89	RP25 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
90	RP26 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
91	RP27 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
92	RP28 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
93	RP29 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
94	RP30 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
95	RP31 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
96	RP32 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
97	RP33 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
98	RP34 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
99	RP35 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
100	RP36 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
101	RP37 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
102	RP38 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
103	HILIC1 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
104	HILIC2 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
105	HILIC3 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
106	HILIC4 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
107	HILIC5 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
108	HILIC6 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
109	HILIC7 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
110	HILIC8 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
111	HILIC9 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
112	HILIC10 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
113	HILIC11 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
114	HILIC12 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
115	HILIC13 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
116	HILIC14 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
117	HILIC15 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
118	HILIC16 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
119	HILIC17 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
120	HILIC18 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
121	HILIC19 pos	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
122	RP1 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
123	RP2 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
124	RP3 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
125	RP4 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
126	RP5 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
127	RP6 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
128	RP7 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
129	RP8 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
130	RP9 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
131	RP10 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
132	RP11 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
133	RP12 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
134	RP13 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
135	RP14 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
136	RP15 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
137	RP16 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
138	RP17 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
139	RP18 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
140	RP19 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
141	RP20 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
142	RP21 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
143	RP22 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
144	RP23 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
145	RP24 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
146	RP25 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
147	RP26 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
148	RP27 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
149	RP28 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
150	RP29 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
151	RP30 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
152	RP31 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
153	RP32 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
154	RP33 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
155	RP34 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
156	RP35 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
157	RP36 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
158	RP37 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
159	RP38 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	RP		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
160	HILIC1 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
161	HILIC2 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
162	HILIC3 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
163	HILIC4 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
164	HILIC5 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
165	HILIC6 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
166	HILIC7 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
167	HILIC8 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
168	HILIC9 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
169	HILIC10 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
170	HILIC11 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
171	HILIC12 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
172	HILIC13 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
173	HILIC14 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
174	HILIC15 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
175	HILIC16 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
176	HILIC17 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
177	HILIC18 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
178	HILIC19 neg	https://doi.org/10.1016/j.jchromb.2020.122105	32305706	Publication	HILIC		temperature	J. Folberth, K. Begemann, O. Jöhren, M. Schwaninger, A. Othman
179	RP Geneva DB maXisQTOF pos			Dataset	RP			S. Rudaz
180	RP Geneva DB maXisQTOF neg			Dataset	RP			S. Rudaz
181	RP VION QTOF pos			Dataset	RP	sometimes two RTs		S. Rudaz
182	RP VION QTOF new			Dataset	RP	sometimes two RTs		S. Rudaz
183	aHILIC Geneva DB maXisQTOF pos	https://doi.org/10.1016/j.chroma.2019.01.023	30685186	Publication	HILIC			J. Pezzatti, V. González-Ruiz, S. Codesido, Y. Gagnebin, A. Joshi, D. Guillarme, J. Schappler, D. Picard, J. Boccard, S. Rudaz
184	aHILIC Geneva DB maXisQTOF neg	https://doi.org/10.1016/j.chroma.2019.01.023	30685186	Publication	HILIC			J. Pezzatti, V. González-Ruiz, S. Codesido, Y. Gagnebin, A. Joshi, D. Guillarme, J. Schappler, D. Picard, J. Boccard, S. Rudaz
185	zHILIC Geneva DB VION QTOF neg	https://doi.org/10.1016/j.chroma.2019.01.023	30685186	Publication	HILIC			J. Pezzatti, V. González-Ruiz, S. Codesido, Y. Gagnebin, A. Joshi, D. Guillarme, J. Schappler, D. Picard, J. Boccard, S. Rudaz
186	SMRT_METLIN	https://doi.org/10.1038/s41467-019-13680-7	34907452	Publication	RP			Xavier Domingo-Almenara, Carlos Guijas, Elizabeth Billings, J. Rafael Montenegro-Burke, Winnie Uritboonthai, Aries E. Aisporna, Emily Chen, H. Paul Benton, Gary Siuzdak
187	Standard_pos	https://doi.org/10.1007/s00216-021-03828-0	34907452	Publication	RP			R. Stoffel, M. Quilliam, N. Hardt, A. Fridstrom, M. Witting
188	Standard_neg	https://doi.org/10.1007/s00216-021-03828-0	34907452	Publication	RP			R. Stoffel, M. Quilliam, N. Hardt, A. Fridstrom, M. Witting
189	flow0.2_pos	https://doi.org/10.1007/s00216-021-03828-0	34907452	Publication	RP			R. Stoffel, M. Quilliam, N. Hardt, A. Fridstrom, M. Witting
190	flow0.2_neg	https://doi.org/10.1007/s00216-021-03828-0	34907452	Publication	RP			R. Stoffel, M. Quilliam, N. Hardt, A. Fridstrom, M. Witting
191	flow0.25_pos	https://doi.org/10.1007/s00216-021-03828-0	34907452	Publication	RP			R. Stoffel, M. Quilliam, N. Hardt, A. Fridstrom, M. Witting
192	flow0.25_neg	https://doi.org/10.1007/s00216-021-03828-0	34907452	Publication	RP			R. Stoffel, M. Quilliam, N. Hardt, A. Fridstrom, M. Witting
193	flow0.35_pos	https://doi.org/10.1007/s00216-021-03828-0	34907452	Publication	RP			R. Stoffel, M. Quilliam, N. Hardt, A. Fridstrom, M. Witting
194	flow0.35_neg	https://doi.org/10.1007/s00216-021-03828-0	34907452	Publication	RP			R. Stoffel, M. Quilliam, N. Hardt, A. Fridstrom, M. Witting
195	flow0.4_pos	https://doi.org/10.1007/s00216-021-03828-0	34907452	Publication	RP			R. Stoffel, M. Quilliam, N. Hardt, A. Fridstrom, M. Witting
