id	name	formula	rt	pubchem.cid	pubchem.smiles.isomeric	pubchem.smiles.canonical	pubchem.inchi	pubchem.inchikey	id.chebi	id.hmdb	id.hmdb.1	id.lipidmaps	comment
0208_00011	Abexinostat (PCI-24781)	C21H23N3O5	4.18	11749858		CN(C)CC1=C(OC2=CC=CC=C21)C(=O)NCCOC3=CC=C(C=C3)C(=O)NO	InChI=1S/C21H23N3O5/c1-24(2)13-17-16-5-3-4-6-18(16)29-19(17)21(26)22-11-12-28-15-9-7-14(8-10-15)20(25)23-27/h3-10,27H,11-13H2,1-2H3,(H,22,26)(H,23,25)	MAUCONCHVWBMHK-UHFFFAOYSA-N					removed another duplicate entry
0208_00012	Acalabrutinib (ACP-196)	C26H23N7O2	4.73	71226662	CC#CC(=O)N1CCC[C@H]1C2=NC(=C3N2C=CN=C3N)C4=CC=C(C=C4)C(=O)NC5=CC=CC=N5	CC#CC(=O)N1CCCC1C2=NC(=C3N2C=CN=C3N)C4=CC=C(C=C4)C(=O)NC5=CC=CC=N5	InChI=1S/C26H23N7O2/c1-2-6-21(34)32-15-5-7-19(32)25-31-22(23-24(27)29-14-16-33(23)25)17-9-11-18(12-10-17)26(35)30-20-8-3-4-13-28-20/h3-4,8-14,16,19H,5,7,15H2,1H3,(H2,27,29)(H,28,30,35)/t19-/m0/s1	WDENQIQQYWYTPO-IBGZPJMESA-N					removed another duplicate entry
0208_00013	Acarbose	C25H43NO18	0.76	41774	C[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](OC([C@@H]([C@H]3O)O)O)CO)CO)O)O)N[C@H]4C=C([C@H]([C@@H]([C@H]4O)O)O)CO	CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)NC4C=C(C(C(C4O)O)O)CO	InChI=1S/C25H43NO18/c1-6-11(26-8-2-7(3-27)12(30)15(33)13(8)31)14(32)19(37)24(40-6)43-22-10(5-29)42-25(20(38)17(22)35)44-21-9(4-28)41-23(39)18(36)16(21)34/h2,6,8-39H,3-5H2,1H3/t6-,8+,9-,10-,11-,12-,13+,14+,15+,16-,17-,18-,19-,20-,21-,22-,23?,24-,25-/m1/s1	XUFXOAAUWZOOIT-UGEKTDRHSA-N					removed another duplicate entry
0208_00014	Acebutolol	C18H28N2O4	4.4	1978		CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C	InChI=1S/C18H28N2O4/c1-5-6-18(23)20-14-7-8-17(16(9-14)13(4)21)24-11-15(22)10-19-12(2)3/h7-9,12,15,19,22H,5-6,10-11H2,1-4H3,(H,20,23)	GOEMGAFJFRBGGG-UHFFFAOYSA-N					removed another duplicate entry
0208_00015	Aceclidine	C9H15NO2	2.21	1979		CC(=O)OC1CN2CCC1CC2	InChI=1S/C9H15NO2/c1-7(11)12-9-6-10-4-2-8(9)3-5-10/h8-9H,2-6H2,1H3	WRJPSSPFHGNBMG-UHFFFAOYSA-N					removed another duplicate entry
0208_00016	Aceglutamide	C7H12N2O4	0.85	182230	CC(=O)N[C@@H](CCC(=O)N)C(=O)O	CC(=O)NC(CCC(=O)N)C(=O)O	InChI=1S/C7H12N2O4/c1-4(10)9-5(7(12)13)2-3-6(8)11/h5H,2-3H2,1H3,(H2,8,11)(H,9,10)(H,12,13)/t5-/m0/s1	KSMRODHGGIIXDV-YFKPBYRVSA-N					removed another duplicate entry
0208_00017	Acemetacin	C21H18ClNO6	7.57	1981		CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)OCC(=O)O	InChI=1S/C21H18ClNO6/c1-12-16(10-20(26)29-11-19(24)25)17-9-15(28-2)7-8-18(17)23(12)21(27)13-3-5-14(22)6-4-13/h3-9H,10-11H2,1-2H3,(H,24,25)	FSQKKOOTNAMONP-UHFFFAOYSA-N					removed another duplicate entry
0208_00018	Acetanilide	C8H9NO	4.45	904		CC(=O)NC1=CC=CC=C1	InChI=1S/C8H9NO/c1-7(10)9-8-5-3-2-4-6-8/h2-6H,1H3,(H,9,10)	FZERHIULMFGESH-UHFFFAOYSA-N					removed another duplicate entry
0208_00019	Acetazolamide	C4H6N4O3S2	3.16	1986		CC(=O)NC1=NN=C(S1)S(=O)(=O)N	InChI=1S/C4H6N4O3S2/c1-2(9)6-3-7-8-4(12-3)13(5,10)11/h1H3,(H2,5,10,11)(H,6,7,9)	BZKPWHYZMXOIDC-UHFFFAOYSA-N					removed another duplicate entry
0208_00020	Acetylleucine	C8H15NO3	4.26	1995		CC(C)CC(C(=O)O)NC(=O)C	InChI=1S/C8H15NO3/c1-5(2)4-7(8(11)12)9-6(3)10/h5,7H,4H2,1-3H3,(H,9,10)(H,11,12)	WXNXCEHXYPACJF-UHFFFAOYSA-N					removed another duplicate entry
0208_00021	Aciclovir	C8H11N5O3	2.12	135398513		C1=NC2=C(N1COCCO)N=C(NC2=O)N	InChI=1S/C8H11N5O3/c9-8-11-6-5(7(15)12-8)10-3-13(6)4-16-2-1-14/h3,14H,1-2,4H2,(H3,9,11,12,15)	MKUXAQIIEYXACX-UHFFFAOYSA-N					removed another duplicate entry
0208_00022	Acipimox	C6H6N2O3	1.56	5310993		CC1=CN=C(C=[N+]1[O-])C(=O)O	InChI=1S/C6H6N2O3/c1-4-2-7-5(6(9)10)3-8(4)11/h2-3H,1H3,(H,9,10)	DJQOOSBJCLSSEY-UHFFFAOYSA-N					removed another duplicate entry
0208_00023	Acitretin	C21H26O3	8.78	5284513	CC1=CC(=C(C(=C1/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C)C)C)OC	CC1=CC(=C(C(=C1C=CC(=CC=CC(=CC(=O)O)C)C)C)C)OC	InChI=1S/C21H26O3/c1-14(8-7-9-15(2)12-21(22)23)10-11-19-16(3)13-20(24-6)18(5)17(19)4/h7-13H,1-6H3,(H,22,23)/b9-7+,11-10+,14-8+,15-12+	IHUNBGSDBOWDMA-AQFIFDHZSA-N					removed another duplicate entry
0208_00024	Aclidinium	C26H30NO4S2+	6.23	11434515	C1C[N+]2(CCC1[C@H](C2)OC(=O)C(C3=CC=CS3)(C4=CC=CS4)O)CCCOC5=CC=CC=C5	C1C[N+]2(CCC1C(C2)OC(=O)C(C3=CC=CS3)(C4=CC=CS4)O)CCCOC5=CC=CC=C5	InChI=1S/C26H30NO4S2/c28-25(26(29,23-9-4-17-32-23)24-10-5-18-33-24)31-22-19-27(14-11-20(22)12-15-27)13-6-16-30-21-7-2-1-3-8-21/h1-5,7-10,17-18,20,22,29H,6,11-16,19H2/q+1/t20?,22-,27?/m0/s1	ASMXXROZKSBQIH-VITNCHFBSA-N					removed another duplicate entry
0208_00025	Adefovir Dipivoxil	C20H32N5O8P	5.89	60871		CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C(N=CN=C21)N)OCOC(=O)C(C)(C)C	InChI=1S/C20H32N5O8P/c1-19(2,3)17(26)30-11-32-34(28,33-12-31-18(27)20(4,5)6)13-29-8-7-25-10-24-14-15(21)22-9-23-16(14)25/h9-10H,7-8,11-13H2,1-6H3,(H2,21,22,23)	WOZSCQDILHKSGG-UHFFFAOYSA-N					removed another duplicate entry
0208_00026	Adenine	C5H5N5	0.59	190		C1=NC2=NC=NC(=C2N1)N	InChI=1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)	GFFGJBXGBJISGV-UHFFFAOYSA-N					removed another duplicate entry
0208_00027	Adenosine	C10H13N5O4	2.15	60961	C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N	InChI=1S/C10H13N5O4/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(18)6(17)4(1-16)19-10/h2-4,6-7,10,16-18H,1H2,(H2,11,12,13)/t4-,6-,7-,10-/m1/s1	OIRDTQYFTABQOQ-KQYNXXCUSA-N					removed another duplicate entry
0208_00028	Adiphenine	C20H25NO2	5.77	2031		CCN(CC)CCOC(=O)C(C1=CC=CC=C1)C2=CC=CC=C2	InChI=1S/C20H25NO2/c1-3-21(4-2)15-16-23-20(22)19(17-11-7-5-8-12-17)18-13-9-6-10-14-18/h5-14,19H,3-4,15-16H2,1-2H3	JGOAIQNSOGZNBX-UHFFFAOYSA-N					removed another duplicate entry
0208_00029	Adrenalone	C9H11NO3	1.1	7436		CNCC(=O)C1=CC(=C(C=C1)O)O	InChI=1S/C9H11NO3/c1-10-5-9(13)6-2-3-7(11)8(12)4-6/h2-4,10-12H,5H2,1H3	PZMVOUYYNKPMSI-UHFFFAOYSA-N					removed another duplicate entry
0208_00030	Afatinib (BIBW2992)	C24H25ClFN5O3	4.59	10184653	CN(C)C/C=C/C(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)O[C@H]4CCOC4	CN(C)CC=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OC4CCOC4	InChI=1S/C24H25ClFN5O3/c1-31(2)8-3-4-23(32)30-21-11-17-20(12-22(21)34-16-7-9-33-13-16)27-14-28-24(17)29-15-5-6-19(26)18(25)10-15/h3-6,10-12,14,16H,7-9,13H2,1-2H3,(H,30,32)(H,27,28,29)/b4-3+/t16-/m0/s1	ULXXDDBFHOBEHA-CWDCEQMOSA-N					removed another duplicate entry
0208_00031	Afloqualone	C16H14FN3O	5.71	2040		CC1=CC=CC=C1N2C(=NC3=C(C2=O)C=C(C=C3)N)CF	InChI=1S/C16H14FN3O/c1-10-4-2-3-5-14(10)20-15(9-17)19-13-7-6-11(18)8-12(13)16(20)21/h2-8H,9,18H2,1H3	VDOSWXIDETXFET-UHFFFAOYSA-N					removed another duplicate entry
0208_00032	Afuresertib (GSK2110183)	C18H17Cl2FN4OS	5.85	46843057	CN1C(=C(C=N1)Cl)C2=C(SC(=C2)C(=O)N[C@@H](CC3=CC(=CC=C3)F)CN)Cl	CN1C(=C(C=N1)Cl)C2=C(SC(=C2)C(=O)NC(CC3=CC(=CC=C3)F)CN)Cl	InChI=1S/C18H17Cl2FN4OS/c1-25-16(14(19)9-23-25)13-7-15(27-17(13)20)18(26)24-12(8-22)6-10-3-2-4-11(21)5-10/h2-5,7,9,12H,6,8,22H2,1H3,(H,24,26)/t12-/m0/s1	AFJRDFWMXUECEW-LBPRGKRZSA-N					removed another duplicate entry
0208_00033	Agomelatine	C15H17NO2	6.33	82148		CC(=O)NCCC1=CC=CC2=C1C=C(C=C2)OC	InChI=1S/C15H17NO2/c1-11(17)16-9-8-13-5-3-4-12-6-7-14(18-2)10-15(12)13/h3-7,10H,8-9H2,1-2H3,(H,16,17)	YJYPHIXNFHFHND-UHFFFAOYSA-N					removed another duplicate entry
0208_00034	AICAR (Acadesine)	C9H14N4O5	1.35	17513	C1=NC(=C(N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N)C(=O)N	C1=NC(=C(N1C2C(C(C(O2)CO)O)O)N)C(=O)N	InChI=1S/C9H14N4O5/c10-7-4(8(11)17)12-2-13(7)9-6(16)5(15)3(1-14)18-9/h2-3,5-6,9,14-16H,1,10H2,(H2,11,17)	RTRQQBHATOEIAF-UUOKFMHZSA-N					removed another duplicate entry
0208_00035	Albendazole	C12H15N3O2S	5.67	2082		CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC	InChI=1S/C12H15N3O2S/c1-3-6-18-8-4-5-9-10(7-8)14-11(13-9)15-12(16)17-2/h4-5,7H,3,6H2,1-2H3,(H2,13,14,15,16)	HXHWSAZORRCQMX-UHFFFAOYSA-N					removed another duplicate entry
0208_00036	Albendazole	C12H15N3O2S	5.68	2082		CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC	InChI=1S/C12H15N3O2S/c1-3-6-18-8-4-5-9-10(7-8)14-11(13-9)15-12(16)17-2/h4-5,7H,3,6H2,1-2H3,(H2,13,14,15,16)	HXHWSAZORRCQMX-UHFFFAOYSA-N					removed another duplicate entry
0208_00037	Albendazole Oxide	C12H15N3O3S	4.35	83969		CCCS(=O)C1=CC2=C(C=C1)N=C(N2)NC(=O)OC	InChI=1S/C12H15N3O3S/c1-3-6-19(17)8-4-5-9-10(7-8)14-11(13-9)15-12(16)18-2/h4-5,7H,3,6H2,1-2H3,(H2,13,14,15,16)	VXTGHWHFYNYFFV-UHFFFAOYSA-N					removed another duplicate entry
0208_00038	Alcaftadine	C19H21N3O	4.34	19371515		CN1CCC(=C2C3=CC=CC=C3CCN4C2=NC=C4C=O)CC1	InChI=1S/C19H21N3O/c1-21-9-6-15(7-10-21)18-17-5-3-2-4-14(17)8-11-22-16(13-23)12-20-19(18)22/h2-5,12-13H,6-11H2,1H3	MWTBKTRZPHJQLH-UHFFFAOYSA-N					removed another duplicate entry
0208_00039	Alfacalcidol	C27H44O2	8.93	5282181	C[C@H](CCCC(C)C)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](C[C@@H](C3=C)O)O)C	CC(C)CCCC(C)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C	InChI=1S/C27H44O2/c1-18(2)8-6-9-19(3)24-13-14-25-21(10-7-15-27(24,25)5)11-12-22-16-23(28)17-26(29)20(22)4/h11-12,18-19,23-26,28-29H,4,6-10,13-17H2,1-3,5H3/b21-11+,22-12-/t19-,23-,24-,25+,26+,27-/m1/s1	OFHCOWSQAMBJIW-AVJTYSNKSA-N					removed another duplicate entry
0208_00040	Alfuzosin	C19H27N5O4	4.59	2092		CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC	InChI=1S/C19H27N5O4/c1-24(8-5-7-21-18(25)14-6-4-9-28-14)19-22-13-11-16(27-3)15(26-2)10-12(13)17(20)23-19/h10-11,14H,4-9H2,1-3H3,(H,21,25)(H2,20,22,23)	WNMJYKCGWZFFKR-UHFFFAOYSA-N					removed another duplicate entry
0208_00041	Alibendol	C13H17NO4	5.47	71916		COC1=CC(=CC(=C1O)C(=O)NCCO)CC=C	InChI=1S/C13H17NO4/c1-3-4-9-7-10(13(17)14-5-6-15)12(16)11(8-9)18-2/h3,7-8,15-16H,1,4-6H2,2H3,(H,14,17)	UMJHTFHIQDEGKB-UHFFFAOYSA-N					removed another duplicate entry
0208_00042	Alisertib (MLN8237)	C27H20ClFN4O4	7.44	24771867		COC1=C(C(=CC=C1)F)C2=NCC3=CN=C(N=C3C4=C2C=C(C=C4)Cl)NC5=CC(=C(C=C5)C(=O)O)OC	InChI=1S/C27H20ClFN4O4/c1-36-21-5-3-4-20(29)23(21)25-19-10-15(28)6-8-17(19)24-14(12-30-25)13-31-27(33-24)32-16-7-9-18(26(34)35)22(11-16)37-2/h3-11,13H,12H2,1-2H3,(H,34,35)(H,31,32,33)	ZLHFILGSQDJULK-UHFFFAOYSA-N					removed another duplicate entry
0208_00043	Aliskiren	C30H53N3O6	5.77	5493444	CC(C)[C@@H](CC1=CC(=C(C=C1)OC)OCCCOC)C[C@@H]([C@H](C[C@@H](C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N	CC(C)C(CC1=CC(=C(C=C1)OC)OCCCOC)CC(C(CC(C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N	InChI=1S/C30H53N3O6/c1-19(2)22(14-21-10-11-26(38-8)27(15-21)39-13-9-12-37-7)16-24(31)25(34)17-23(20(3)4)28(35)33-18-30(5,6)29(32)36/h10-11,15,19-20,22-25,34H,9,12-14,16-18,31H2,1-8H3,(H2,32,36)(H,33,35)/t22-,23-,24-,25-/m0/s1	UXOWGYHJODZGMF-QORCZRPOSA-N					removed another duplicate entry
0208_00044	Alizapride	C16H21N5O2	3.56	135413504		COC1=CC2=C(C=C1C(=O)NCC3CCCN3CC=C)NN=N2	InChI=1S/C16H21N5O2/c1-3-6-21-7-4-5-11(21)10-17-16(22)12-8-13-14(19-20-18-13)9-15(12)23-2/h3,8-9,11H,1,4-7,10H2,2H3,(H,17,22)(H,18,19,20)	KSEYRUGYKHXGFW-UHFFFAOYSA-N					removed another duplicate entry
0208_00045	Allopurinol	C5H4N4O	1.72	135401907		C1=NNC2=C1C(=O)NC=N2	InChI=1S/C5H4N4O/c10-5-3-1-8-9-4(3)6-2-7-5/h1-2H,(H2,6,7,8,9,10)	OFCNXPDARWKPPY-UHFFFAOYSA-N					removed another duplicate entry
0208_00046	Allopurinol	C5H4N4O	1.76	135401907		C1=NNC2=C1C(=O)NC=N2	InChI=1S/C5H4N4O/c10-5-3-1-8-9-4(3)6-2-7-5/h1-2H,(H2,6,7,8,9,10)	OFCNXPDARWKPPY-UHFFFAOYSA-N					removed another duplicate entry
0208_00047	Allylthiourea	C4H8N2S	2.32	1549517		C=CCNC(=S)N	InChI=1S/C4H8N2S/c1-2-3-6-4(5)7/h2H,1,3H2,(H3,5,6,7)	HTKFORQRBXIQHD-UHFFFAOYSA-N					removed another duplicate entry
0208_00048	Almotriptan	C17H25N3O2S	4.42	123606		CN(C)CCC1=CNC2=C1C=C(C=C2)CS(=O)(=O)N3CCCC3	InChI=1S/C17H25N3O2S/c1-19(2)10-7-15-12-18-17-6-5-14(11-16(15)17)13-23(21,22)20-8-3-4-9-20/h5-6,11-12,18H,3-4,7-10,13H2,1-2H3	WKEMJKQOLOHJLZ-UHFFFAOYSA-N					removed another duplicate entry
0208_00049	Aloxistatin	C17H30N2O5	6.93	65663	CCOC(=O)[C@@H]1[C@H](O1)C(=O)N[C@@H](CC(C)C)C(=O)NCCC(C)C	CCOC(=O)C1C(O1)C(=O)NC(CC(C)C)C(=O)NCCC(C)C	InChI=1S/C17H30N2O5/c1-6-23-17(22)14-13(24-14)16(21)19-12(9-11(4)5)15(20)18-8-7-10(2)3/h10-14H,6-9H2,1-5H3,(H,18,20)(H,19,21)/t12-,13-,14-/m0/s1	SRVFFFJZQVENJC-IHRRRGAJSA-N					removed another duplicate entry
0208_00050	Alpelisib (BYL719)	C19H22F3N5O2S	6.17	56649450	CC1=C(SC(=N1)NC(=O)N2CCC[C@H]2C(=O)N)C3=CC(=NC=C3)C(C)(C)C(F)(F)F	CC1=C(SC(=N1)NC(=O)N2CCCC2C(=O)N)C3=CC(=NC=C3)C(C)(C)C(F)(F)F	InChI=1S/C19H22F3N5O2S/c1-10-14(11-6-7-24-13(9-11)18(2,3)19(20,21)22)30-16(25-10)26-17(29)27-8-4-5-12(27)15(23)28/h6-7,9,12H,4-5,8H2,1-3H3,(H2,23,28)(H,25,26,29)/t12-/m0/s1	STUWGJZDJHPWGZ-LBPRGKRZSA-N					removed another duplicate entry
0208_00051	Alprostadil	C20H34O5	6.32	5280723	CCCCC[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1CCCCCCC(=O)O)O)O	CCCCCC(C=CC1C(CC(=O)C1CCCCCCC(=O)O)O)O	InChI=1S/C20H34O5/c1-2-3-6-9-15(21)12-13-17-16(18(22)14-19(17)23)10-7-4-5-8-11-20(24)25/h12-13,15-17,19,21,23H,2-11,14H2,1H3,(H,24,25)/b13-12+/t15-,16+,17+,19+/m0/s1	GMVPRGQOIOIIMI-DWKJAMRDSA-N					removed another duplicate entry
0208_00052	Altrenogest	C21H26O2	7.32	10041070	C[C@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@]2(CC=C)O	CC12C=CC3=C4CCC(=O)C=C4CCC3C1CCC2(CC=C)O	InChI=1S/C21H26O2/c1-3-10-21(23)12-9-19-18-6-4-14-13-15(22)5-7-16(14)17(18)8-11-20(19,21)2/h3,8,11,13,18-19,23H,1,4-7,9-10,12H2,2H3/t18-,19+,20+,21+/m1/s1	VWAUPFMBXBWEQY-ANULTFPQSA-N					removed another duplicate entry
0208_00053	Altretamine	C9H18N6	4.75	2123		CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C	InChI=1S/C9H18N6/c1-13(2)7-10-8(14(3)4)12-9(11-7)15(5)6/h1-6H3	UUVWYPNAQBNQJQ-UHFFFAOYSA-N					removed another duplicate entry
0208_00054	Alverine	C20H27N	6.18	3678		CCN(CCCC1=CC=CC=C1)CCCC2=CC=CC=C2	InChI=1S/C20H27N/c1-2-21(17-9-15-19-11-5-3-6-12-19)18-10-16-20-13-7-4-8-14-20/h3-8,11-14H,2,9-10,15-18H2,1H3	ZPFXAOWNKLFJDN-UHFFFAOYSA-N					removed another duplicate entry
0208_00055	Amantadine	C10H17N	3.98	2130		C1C2CC3CC1CC(C2)(C3)N	InChI=1S/C10H17N/c11-10-4-7-1-8(5-10)3-9(2-7)6-10/h7-9H,1-6,11H2	DKNWSYNQZKUICI-UHFFFAOYSA-N					removed another duplicate entry
0208_00056	Ambrisentan	C22H22N2O4	7.29	6918493	CC1=CC(=NC(=N1)O[C@H](C(=O)O)C(C2=CC=CC=C2)(C3=CC=CC=C3)OC)C	CC1=CC(=NC(=N1)OC(C(=O)O)C(C2=CC=CC=C2)(C3=CC=CC=C3)OC)C	InChI=1S/C22H22N2O4/c1-15-14-16(2)24-21(23-15)28-19(20(25)26)22(27-3,17-10-6-4-7-11-17)18-12-8-5-9-13-18/h4-14,19H,1-3H3,(H,25,26)/t19-/m1/s1	OUJTZYPIHDYQMC-LJQANCHMSA-N					removed another duplicate entry
0208_00057	Ambroxol	C13H18Br2N2O	4.73	2132		C1CC(CCC1NCC2=C(C(=CC(=C2)Br)Br)N)O	InChI=1S/C13H18Br2N2O/c14-9-5-8(13(16)12(15)6-9)7-17-10-1-3-11(18)4-2-10/h5-6,10-11,17-18H,1-4,7,16H2	JBDGDEWWOUBZPM-UHFFFAOYSA-N					removed another duplicate entry
0208_00058	Amfebutamone	C13H18ClNO	4.94	444		CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C	InChI=1S/C13H18ClNO/c1-9(15-13(2,3)4)12(16)10-6-5-7-11(14)8-10/h5-9,15H,1-4H3	SNPPWIUOZRMYNY-UHFFFAOYSA-N					removed another duplicate entry
0208_00059	Amfenac	C15H13NO3	6.42	2136		C1=CC=C(C=C1)C(=O)C2=CC=CC(=C2N)CC(=O)O	InChI=1S/C15H13NO3/c16-14-11(9-13(17)18)7-4-8-12(14)15(19)10-5-2-1-3-6-10/h1-8H,9,16H2,(H,17,18)	SOYCMDCMZDHQFP-UHFFFAOYSA-N					removed another duplicate entry
0208_00060	Amidopyrine	C13H17N3O	3.25	6009		CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C	InChI=1S/C13H17N3O/c1-10-12(14(2)3)13(17)16(15(10)4)11-8-6-5-7-9-11/h5-9H,1-4H3	RMMXTBMQSGEXHJ-UHFFFAOYSA-N					removed another duplicate entry
