Brand Name	Manufacturer	USP.Code
Alpha C18	Ad Hoc Scientific	L1
Amethyst C18	Sepax Technologies, Inc.	L1
Aminoquant	Agilent Technologies	L1
Amplus C18-16	ChromaNik Technol.	L1
Amplus C18-30	ChromaNik Technol.	L1
Apex II ODS	Hichrom	L1
Apex ODS	Hichrom	L1
Apollo C18	Hichrom	L1
AQUA C18	Phenomenex	L1
Aquapore OD-300 C18	Supelco	L1
AQUASIL C18	Thermo Scientific	L1
Ascentis C18	Supelco	L1
Ascentis Express C18	Supelco	L1
ASI C18	Analytical Sciences Inc.	L1
ASI microC18	Analytical Sciences Inc.	L1
Atlantis C18	Waters	L1
Atlantis d C18	Waters	L1
Atlantis dC18	Waters Corp.	L1
Atlantis T3	Waters Corp.	L1
Aurashell Aqua	Horizon Chromatography Ltd.	L1
Aurashell C18	Horizon Chromatography Ltd.	L1
Aurashell C18/PFP	Horizon Chromatography Ltd.	L1
Aurashell PEP C18	Horizon Chromatography Ltd.	L1
Avanti BDS C18	Exmere Ltd.	L1
Avanti ODS	Exmere Ltd.	L1
Axxi-Chrom C18, ODS	Axxiom	L1
Bakerbond C18	JT Baker	L1
BetaBasic C18	Thermo Scientific	L1
BetaMax Neutral	Thermo Scientific	L1
BETASIL C18	Thermo Scientific	L1
Bio-C18	Sepax Technologies, Inc.	L1
Bio-Sil ODS	BIO-RAD Laboratories	L1
Bio-Sil ODS-10	BIO-RAD Laboratories	L1
BioBasic 18	Thermo Scientific	L1
BIOshell A160 peptide C18	Supelco	L1
BioZen Peptide PS-C18	Phenomenex	L1
BioZen Peptide XB-C18	Phenomenex	L1
Bondclone C18	Phenomenex	L1
Bondpak C18	Waters	L1
BR-C18	Sepax Technologies, Inc.	L1
Brownlee Newguard RP-18	PerkinElmer	L1
Brownlee RP-18		L1
Burdick & Jackson C18	B & J	L1
C-18 Ultrasphere	Beckman Instruments, Inc.	L1
C-18-IP Ultrasphere	Beckman Instruments	L1
Cadenza 5CD-C18	Imtakt - Silvertone Sciences	L1
Cadenza 5CL-C18	Imtakt - Silvertone Sciences	L1
Cadenza 5CW-C18	Imtakt - Silvertone Sciences	L1
Cadenza CD-C18	Imtakt - Silvertone Sciences	L1
Cadenza CL-C18	Imtakt - Silvertone Sciences	L1
Cadenza CW-C18	Imtakt - Silvertone Sciences	L1
Cadenza HS-C18	Imtakt - Silvertone Sciences	L1
Capcell Core C18	Osaka Soda Co., Ltd.	L1
Capcell Core MP	Osaka Soda Co., Ltd.	L1
Capcell Core WP	Osaka Soda Co., Ltd.	L1
Capcell Pak C18	Osaka Soda Co., Ltd.	L1
Capcell Pak C18 ACR	Osaka Soda Co., Ltd.	L1
Capcell Pak C18 AG 120	Osaka Soda Co., Ltd.	L1
Capcell Pak C18 AQ	Osaka Soda Co., Ltd.	L1
Capcell Pak C18 BB	Osaka Soda Co., Ltd.	L1
Capcell Pak C18 BB-H	Osaka Soda Co., Ltd.	L1
Capcell Pak C18 IF	Osaka Soda Co., Ltd.	L1
Capcell Pak C18 IF2	Osaka Soda Co., Ltd.	L1
Capcell Pak C18 MG	Osaka Soda Co., Ltd.	L1
Capcell Pak C18 MGII	Osaka Soda Co., Ltd.	L1
Capcell Pak C18 MGIII	Osaka Soda Co., Ltd.	L1
Capcell Pak C18 MGIII-H	Osaka Soda Co., Ltd.	L1
Capcell Pak C18 SG 120	Osaka Soda Co., Ltd.	L1
Capcell Pak C18 SG300	Osaka Soda Co., Ltd.	L1
Capcell Pak C18 UG 80	Osaka Soda Co., Ltd.	L1
Capcell Pak C18 UG120	Osaka Soda Co., Ltd.	L1
Capcell Pak C18 UG120A	Osaka Soda Co., Ltd.	L1
Capcell Pak C18 UG300	Osaka Soda Co., Ltd.	L1
Carbsorb ODS3	Metachem	L1
Ceri L-column ODS	Ceri, Japan	L1
Chemco Pak Chemcosorb ODS	Dychrom	L1
Chemcosorb 5-ODS-H	Dychrom	L1
Chromasol CORAL C18	Intek Chromasol	L1
Chromasol CORAL C18-PFP	Intek Chromasol	L1
Chromasol JADE C18	Intek Chromasol	L1
Chromasol ONYX C18	Intek Chromasol	L1
ChromBudget C18	Bischoff Chromatography	L1
Chromegabond C18	ES Industries	L1
Chromegabond M-C18	ES Industries	L1
Chromegabond WR-C18	ES Industries	L1
Chromolith Performance RP-18e	Merck KGaA	L1
Chromolith RP-18	Merck KGaA	L1
Chromolith RP-18e	Merck KGaA	L1
Clarity Oligo-MS	Phenomenex	L1
Clarity Oligo-RP	Phenomenex	L1
Clipeus C18	Higgins Analytical	L1
Cogent Bidentate C18	MicroSolv Techn. Corp.	L1
Cogent Bidentate C18 2.o	MicroSolv Techn. Corp.	L1
Cogent e-Column C18	MicroSolv Techn. Corp.	L1
Cogent HPS C18	MicroSolv Techn. Corp.	L1
Cogent hQ C18	MicroSolv Techn. Corp.	L1
Cogent MicroBee C18	MicroSolv Techn. Corp.	L1
Cogent RP C18	MicroSolv Techn. Corp.	L1
Cogent Simulare C18	MicroSolv Techn. Corp.	L1
Columbus C18	Phenomenex	L1
CORTECS C18	Waters Corp.	L1
CORTECS C18+	Waters Corp.	L1
CORTECS Shield RP18	Waters Corp.	L1
CORTECS Shield RP18 VanGuard	Waters Corp.	L1
CORTECS T3	Waters Corp.	L1
CORTECS UPLC C18	Waters Corp.	L1
CORTECS UPLC C18+	Waters Corp.	L1
CORTECS UPLC Shield RP18	Waters Corp.	L1
CORTECS UPLC T3	Waters Corp.	L1
Cosmocore 2.6C18	Nacalai Tesque, Inc.	L1
Cosmosil 3C18-EB	Nacalai Tesque, Inc.	L1
Cosmosil C18 AR-300	Nacalai Tesque, Inc.	L1
Cosmosil C18 AR-II	Nacalai Tesque, Inc.	L1
Cosmosil C18 MS-II	Nacalai Tesque, Inc.	L1
Cosmosil C18 PAQ	Nacalai Tesque, Inc.	L1
Cosmosil Protein-R	Nacalai Tesque, Inc.	L1
CSC-S-ODS-2		L1
CT-Sil-C18		L1
DAISO ODS - BIO	DAISO Fine Chem USA, Inc.	L1
DAISO ODS - BP	DAISO Fine Chem USA, Inc.	L1
DAISO ODS - RPS	DAISO Fine Chem USA, Inc.	L1
Delta-Pak C18	Waters Corp	L1
Delta-Pak HPI C18	Waters	L1
Develosil 300 ODS-HG	Nomura Chemical	L1
Develosil 300 ODS-UG	Nomura Chemical	L1
Develosil HSR AQ C18	Nomura Chemical	L1
Develosil HSR C18	Nomura Chemical	L1
Develosil HSR C18 Peptide	Nomura Chemical	L1
Develosil ODS	Nomura Chemical	L1
Develosil ODS-A	Nomura Chemical	L1
Develosil ODS-HG	Nomura Chemical	L1
Develosil ODS-K	Nomura Chemical	L1
Develosil ODS-MG	Nomura Chemical	L1
Develosil ODS-N	Nomura Chemical	L1
Develosil ODS-P	Nomura Chemical	L1
Develosil ODS-SR	Nomura Chemical	L1
Develosil ODS-T	Nomura Chemical	L1
Develosil ODS-UG	Nomura Chemical	L1
Develosil PAHS	Nomura Chemical	L1
Develosil XG-C18LC	Nomura Chemical	L1
Develosil XG-C18M	Nomura Chemical	L1
Diazem 2060 C18 60A	Diazem	L1
Diazem 300 A C18 4-222	Diazem	L1
Diazem 300A C18 4-222	Diazem	L1
Diazem 4-206 C18	Diazem	L1
Diazem 4-230 C18	Diazem	L1
Diazem 4-246 C18	Diazem	L1
Diazem 4-247 C18EC	Diazem	L1
Diazem C18	Diazem	L1
Diazem C18 1000	Diazem	L1
Diazem C18 1120	Diazem	L1
Diazem C18 120A	Diazem	L1
Diazem C18 120A series 43, 44, 45 and 46	Diazem	L1
Diazem C18 120A series 43,44,45 and 46	Diazem	L1
Diazem C18 60A	Diazem	L1
Diazem C18 60A series 1,2,3	Diazem	L1
Diazem C18 Dual-zone	Diazem	L1
Diazem C18 series 2000	Diazem	L1
Diazem C18 series 200A, 300A	Diazem	L1
Diazem C18 series 3000	Diazem	L1
Diazem C18 series 4000	Diazem	L1
Diazem C18 series EC	Diazem	L1
Discovery BIO Wide Pore C18	Supelco	L1
Discovery Bo Wide Pore C18	Supelco	L1
Discovery C18	Supelco Inc.	L1
Discovery HS C18	Supelco	L1
Eclipse XDB C18	Agilent	L1
Econosil C18	Dr. Maisch	L1
Econosphere C18	Dr. Maisch	L1
Enable C18 G	Spincotech	L1
Equisil 120 Si	Dr. Maisch	L1
Equisil BDS C18	Dr. Maisch	L1
Equisil ODS	Dr. Maisch	L1
Eurosphere 100	Saulentechnik	L1
Evoke C18	Regis Technologies, Inc.	L1
Exsil 100 ODS	Exmere Ltd.	L1
Exsil 100 ODS-1	Exmere Ltd.	L1
Exsil 100 ODS-AB	Exmere Ltd.	L1
Exsil 100 ODS-B	Exmere Ltd.	L1
Exsil 1000 ODS	Exmere Ltd.	L1
Exsil 300 C18M	Exmere Ltd.	L1
Exsil 80 ODS	Exmere Ltd.	L1
Exsil 80 ODS-1	Exmere Ltd.	L1
Exsil Clasico ODS-1	Exmere Ltd.	L1
Exsil Clasico ODS-2	Exmere Ltd.	L1
Exsil Diametric C18	Exmere Ltd.	L1
Exsil ODS	SGE Analytical Service	L1
Exsil ODS B500	Exmere Ltd.	L1
Exsil paragon C18	Exmere Ltd.	L1
Exsil Plus ODS	Exmere Ltd.	L1
Exsil Plus Si	Exmere Ltd.	L1
Exsil Pure C18	Exmere Ltd.	L1
Exsil Pure C18MS	Exmere Ltd.	L1
Force C18	Restek Corp.	L1
Fortis C18	Fortis Technologies	L1
Fortis H2o	Fortis Technologies	L1
FortisBIO C18	Fortis Technologies	L1
Fractogel TSK HW-40F	MAC-MOD Analytical	L1
Gammabond C18	ES Industries	L1
Gemini C18	Phenomenex	L1
Gemini NX-C18	Phenomenex	L1
Genesis C18	Hichrom	L1
GP-C18	Sepax Technologies, Inc.	L1
GreatSmart C18	Dr. Maisch	L1
GROM Sapphire C18	Dr. Maisch	L1
GROM-SIL ODS-0 AB	Dr. Maisch	L1
GROM-SIL ODS-1 PE	Dr. Maisch	L1
GROM-SIL ODS-2 FE	Dr. Maisch	L1
GROM-SIL ODS-3 CP	Dr. Maisch	L1
GROM-SIL ODS-4 HE	Dr. Maisch	L1
GROM-SIL ODS-5 ST	Dr. Maisch	L1
GROM-SIL ODS-6 NE	Dr. Maisch	L1
GROM-SIL ODS-7 pH	Dr. Maisch	L1
Haisil 100, 300 C18	Higgins Analytical	L1
Haisil 100,300 C18	Higgins Analytical	L1
Haisil HL C18	Higgins Analytical	L1
HALO 1000 A ES-C18	Advanced Materials Tech.	L1
HALO 160 A ES-C18	Advanced Materials Technol.	L1
HALO 400 A ES-C18	Advanced Materials Tech.	L1
HALO AQ-C18	Advanced Materials Tech.	L1
HALO C18	Advanced Materials Tecnol.	L1
HECTOR-A C18	RStech Corp.	L1
HECTOR-M C18	RStech Corp.	L1
HECTOR-T C18	RStech Corp.	L1
HECTOR-U C18	RStech Corp.	L1
HECTOR-W C18	RStech Corp.	L1
Heritage C18	Helix Chromatography	L1
Hibar II C18	Merck KGaA	L1
Hibar ODS	Merck KGaA	L1
Hichrom C18	Hichrom	L1
Horizon Aqua	Horizon Chromatography Ltd.	L1
Horizon C18	Horizon Chromatography Ltd.	L1
Horizon C18/PFP	Horizon Chromatography Ltd.	L1
Horizon PEP C18	Horizon Chromatography Ltd.	L1
HP-C18	Sepax Technologies, Inc.	L1
HxSil C18	Hamilton Co.	L1
HydroBond PS-C18	MAC-MOD Analytical	L1
Hydrosphere C18	YMC Co., Ltd.	L1
Hyperclone BDS C18	Phenomenex	L1
Hyperclone ODS (C18)	Phenomenex	L1
Hyperprep 100 HS BDS C18	Thermo Scientific	L1
Hyperprep 120 C18	Thermo Scientific	L1
Hyperprep HS C18	Thermo Scientific	L1
Hypersil 100 C18	Thermo Scientific	L1
Hypersil AA ODS	Agilent	L1
Hypersil BDS C-18	Thermo Scientific	L1
Hypersil BDS C18	Thermo Scientific	L1
Hypersil C18	Thermo Scientific	L1
Hypersil Elite C18	Thermo Scientific	L1
Hypersil GOLD	Thermo Scientific	L1
Hypersil GOLD aQ	Thermo Scientific	L1
Hypersil Green PAH	Thermo Scientific	L1
Hypersil ODS-2	Thermo Scientific	L1
Hypersil-ODS	Thermo Scientific	L1
HyPURITY AQUASTAR	Thermo Scientific	L1
HyPURITY C18	Thermo Scientific	L1
IB-SIL	Phenomenex	L1
IB-SIL C18	Phenomenex	L1
IB-SIL C18 BD	Phenomenex	L1
IBM Octadecyl	IBM Instruments Inc.	L1
Inertsil ODS	GL Sciences	L1
Inertsil ODS series 1,2,3	GL Sciences	L1
Inertsil ODS-1	GL SCiences	L1
Inertsil ODS-2	GL Sciences	L1
Inertsil ODS-3	GL Sciences	L1
Inertsil ODS-3V	GL Sciences	L1
Inertsil ODS-4	GL Sciences	L1
Inertsil ODS-4V	GL Sciences	L1
Inertsil ODS-HL	GL Sciences	L1
Inertsil ODS-P	GL Sciences	L1
Inertsil ODS-SP	GL Sciences	L1
Inertsil WP300-C18	GL Sciences	L1
InertSustain AQ-C18	GL Sciences	L1
InertSustain C18	GL Sciences	L1
InertSustainSwift C18	GL Sciences	L1
INNO Column C18	Young Jin Biochrom	L1
ISCO C-18	ISCO, Inc.	L1
ISCO C18	ISCO, Inc.	L1
J'Sphere ODS	YMC Inc.	L1
J'Sphere ODS-H80	YMC Co., Inc.	L1
J'Sphere ODS-H80	YMC Co., Ltd.	L1
J'Sphere ODS-L80	YMC Co., Ltd.	L1
J'Sphere ODS-M80	YMC Co., Ltd.	L1
Jupiter	Phenomenex	L1
Jupiter C18	Phenomenex	L1
KANAK C18	Nanghavi Chrom. Solutions	L1
KANAK C18 Plus	Nanghavi Chrom. Solutions	L1
KANAK Core C18 Plus	Nanghavi Chrom. Solutions	L1
Kaseisorb ODS 2000	TCI America	L1
Keystone ODS-A	Thermo Electron	L1
Keystone ODS-B	Thermo Electron	L1
Kinetex C18	Phenomenex	L1
Kinetex EVO C18	Phenomenex	L1
Kinetex Polar C18	Phenomenex	L1
Kinetex XB-C18	Phenomenex	L1
Knauer C-18		L1
Kromasil C18	Akzo Nobel Separations	L1
Kromasil Eternity C18	Akzo Nobel Separations	L1
Kromasil KR 100	Akzo Nobel Separations	L1
Kromasil KR100-5-C18	Akzo Nobel Separations	L1
Kromasil ODS	Akzo Nobel Separations	L1
L-column ODS	Ceri, Japan	L1
L-column ODS-P	Ceri, Japan	L1
L-column2 ODS	Ceri, Japan	L1
L-column3 C18	CERI, Japan	L1
Legacy L1	SIELC Technol.	L1
LiChrosorb RP-18	Merck KGaA	L1
LiChrosorb RP-Select B	Merck KGaA	L1
LiChrospher 100 RP-18	Merck KGaA	L1
LiChrospher PAH	Merck KGaA	L1
LiChrospher RP-18e	Merck KGaA	L1
LiChrospher RP18e	Merck KgaA	L1
LudgerSep R1	Ludger Ltd.	L1
LudgerSep R2	Ludger Ltd.	L1
LudgerSep uR2	Ludger Ltd.	L1
Luna C18	Phenomenex	L1
Luna C18(2)	Phenomenex	L1
Luna Omega C18	Phenomenex	L1
Luna Omega Polar C18	Phenomenex	L1
Luna Omega PS C18	Phenomenex	L1
Macrosphere 300 C18	Dr. Maisch	L1
Maxsil C18		L1
MetaCapsil C18	Metachem	L1
MetaChem ODS	Metachem	L1
MetaPore C18	Metachem	L1
Meteoric Core C18	YMC Co., Ltd.	L1
Meteoric Core C18 BIO	YMC Co., Ltd.	L1
MetroSep C18 AQ+	Metrohm-Peak, Inc.	L1
MetroSep C18AQ	Metrohm-Peak, Inc.	L1
MetroSep C18EPS	Metrohm-Peak, Inc.	L1
MetroSep C18H	Metrohm-Peak, Inc.	L1
MetroSep C18SH	Metrohm-Peak, Inc.	L1
MicroBondapak C18	Waters Corp.	L1
MicroBondapak C18 Radial-Pak	Waters Corp.	L1
MicroBondapak Radial-Pak	Water Corp.	L1
MicroPak MCH-10	Varian	L1
MicroPak MCH-5-N-Cap	Varian Inc.	L1
Microsorb C18	Varian Inc.	L1
Microsorb C18 ("Short-One")	Rainin Instrument Co., Inc.	L1
Microsorb MV C18	Agilent	L1
MicroSpher C18	Varian	L1
MPLC RP-18	PerkinElmer, Inc.	L1
MultoHigh 100 RP18	CS-Chromatographie Service	L1
MultoHigh U-C18	CS-Chromatographie Service	L1
MultoHigh U-C18 AQ	CS-Chromatographie Service	L1
MultoHigh-Bio-200-C18	CS-Chromatographie Service	L1
Multohyp BDS-C18	CS-Chromatographie Service	L1
Multohyp ODS	CS-Chromatographie Service	L1
MultoKrom 100 BDS C18	CS-Chromatographie Service	L1
MultoKrom 100 C18	CS-Chromatographie Service	L1
MultoKrom 100 C18 AQ	CS-Chromatographie Service	L1
MultoKrom 300 C18	CS-Chromatographie Service	L1
Multospher 100 RP18	CS-Chromatographie Service	L1
Multospher 120 RP18	CS-Chromatographie Service	L1
Multospher 120 RP18-AQ	CS-Chromatographie Service	L1
Multospher 120 RP18-HP	CS-Chromatographie Service	L1
Multospher 300 RP18	CS-Chromatographie Service	L1
Multoworb ODS	CS-Chromatographie Service	L1
MZ-Aqua Perfect C18	MZ Analysentechnik	L1
nanoAcquity BEH130	Waters Corp.	L1
nanoAcquity BEH300	Waters Corp.	L1
NCI-NeuroBond C18	National Chromatography Inc.	L1
NCI-Neurosyil C18 100	National Chromatography Inc.	L1
NCI-Neurosyil C18 120 (2)	National Chromatography Inc.	L1
NCI-Neurosyil C18 200	National Chromatography Inc.	L1
NCI-Ultimasyil C18 100	National Chromatography Inc.	L1
NCI-Ultimasyil C18 100 AQ	National Chromatography Inc.	L1
NCI-Ultimasyil C18 120	National Chromatography Inc.	L1
None Cited	n/a	L1
Nova-Pak C18	Waters Corp.	L1
Nova-Pak C18 Radial Pack Cartridge	Waters Associates	L1
NUCLEODUR 100 C18 ec	Macherey-Nagel	L1
NUCLEODUR 300 C18 ec	Macherey-Nagel	L1
NUCLEODUR C18 Gravity	Macherey-Nagel	L1
NUCLEODUR C18 Gravity-SB	Macherey-Nagel	L1
NUCLEODUR C18 HTec	Macherey-Nagel	L1
NUCLEODUR C18 Isis	Macherey-Nagel	L1
NUCLEODUR C18 Pyramid	Macherey-Nagel	L1
NUCLEODUR Pi squared	Macherey-Nagel	L1
NUCLEODUR PolarTec	Macherey-Nagel	L1
NUCLEODUR Sphinx RP	Macherey-Nagel	L1
NUCLEOSHELL Bluebird RP 18	Macherey-Nagel	L1
NUCLEOSHELL RP18	Macherey-Nagel	L1
NUCLEOSHELL RP18plus	Macherey-Nagel	L1
NUCLEOSIL 10 C18	Macherey-Nagel	L1
NUCLEOSIL 100 C18	Macherey-Nagel	L1
NUCLEOSIL 120 C18	Macherey-Nagel	L1
NUCLEOSIL 5 C18	Macherey-Nagel	L1
NUCLEOSIL C18	Macherey-Nagel	L1
NUCLEOSIL C18 AB	Macherey-Nagel	L1
NUCLEOSIL C18 HD	Macherey-Nagel	L1
NUCLEOSIL C18 MPN	Macherey-Nagel	L1
NUCLEOSIL C18 Nautilus	Macherey-Nagel	L1
NUCLEOSIL C18 PPN	Macherey-Nagel	L1
NUCLEOSIL ODS	Macherey-Nagel	L1
NUCLEOSIL RP18	Macherey-Nagel	L1
ODS Ultrapak	Beckman Instruments	L1
OmniSpher C18	Varian	L1
Onyx C18	Phenomenex	L1
Onyx HD-C18	Phenomenex	L1
Onyx Monolithic C18	Phenomnex	L1
OptimaPak C18	RStech Corp.	L1
Optimisil AQ C18	CVC Technologies	L1
Optimisil HL C18	CVC Technologies	L1
Optimisil LP C18	CVC Technologies	L1
Optimisil MC C18	CVC Technologies	L1
Optimisil MF C18	CVC Technologies	L1
Orbit 100 C18	MZ Analysentechnik	L1
Orosil Polar C18	Orochem	L1
Oyster ODS 3	Merck (India)	L1
Partisil 10 ODS	Hichrom	L1
Partisil 10 ODS-2	Hichrom	L1
Partisil 10 ODS-3	Hichrom	L1
Partisil 5 ODS-3	Hichrom	L1
Partisil 5 ODS-3 RAC II	Hichrom	L1
Partisil ODS	Hichrom	L1
Partisil ODS-1	Hichrom	L1
Partisil ODS-3	Hichrom	L1
Partisil ODS2	Hichrom	L1
Partisil ODS3	Hichrom	L1
Partisphere C18	Hichrom	L1
PartiSphere RTF C18	Hichrom	L1
Peco HCODS	PerkinElmer, Inc.	L1
Pecosil C18	PerkinElmer, Inc.	L1
Pecosphere 3x8C	PerkinElmer, Inc.	L1
Pecosphere 3x8CR C18	PerkinElmer, Inc.	L1
Pecosphere 5x15CRT C18	PerkinElmer, Inc.	L1
Pecosphere-3C C18	PerkinElmer, Inc.	L1
Pecosphere-3CR C18	PerkinElmer, Inc.	L1
Pecosphere-3x3 C18	PerkinElmer, Inc.	L1
Peerless Basic C18	Chromatopak	L1
Peerless C18	Chromatopak	L1
Peerless HT-C18	Chromatopak	L1
Peerless LC-C18	Chromatopak	L1
Peptica C18	Diazem	L1
Peptica C18 serresA,B,C	Diazem	L1
PerfectBond C18 ODS	MZ Analysentechnik	L1
PerfectBond C18*	MZ Analysentechnik	L1
PerfectBond ODS-H	MZ Analysentechnik	L1
PerfectBond ODS-HD	MZ Analysentechnik	L1
PerfectChrom 100 C18	MZ Analysentechnik	L1
PerfectChrom 100 C18AB	MZ Analysentechnik	L1
PerfectChrom 100 C18L	MZ Analysentechnik	L1
PerfectChrom 100 C18M	MZ Analysentechnik	L1
PerfectSil 120 ODS	MZ Analysentechnik	L1
PerfectSil 120 ODS-2	MZ Analysentechnik	L1
PerfectSil 120 ODS-L	MZ Analysentechnik	L1
PerfectSil 300 ODS C18	MZ Analysentechnik	L1
PerfectSil ODS-3	MZ Analysentechnik	L1
PerfectSil Target ODS-3	MZ Analysentechnik	L1
PerfectSil Target ODS-3 HD	MZ Analysentechnik	L1
Pfarma C18	Diazem	L1
Pfarma C18 series A,B,C	Diazem	L1
pHidelity C18	Restek Corp.	L1
Pinacle Ultra C18	Restek Corp.	L1
Pinnacle DB Aqueous C18	Restek Corp	L1
Pinnacle DB C18	Restek Corp.	L1
Pinnacle II PAH	Restek Corp.	L1
Pinnacle II X3	Restek Corp.	L1
Pinnacle ODS	Restek Corp.	L1
Platinum 300 C18	Dr. Maisch	L1
Platinum C18	Dr. Maisch	L1
Platinum EPS C18	Dr. Maisch	L1
Polaris C18-A	Varian	L1
Polaris C18-Ether	Varian	L1
POLYGOSIL 60-7 C18	Macherey-Nagel	L1
POLYGOSIL C18	Macherey-Nagel	L1
POLYGOSIL C18 60A	Macherey-Nagel	L1
POLYGOSIL C18 60ª	Macherey-Nagel	L1
Poroshell 120 EC-C18	Agilent	L1
Poroshell 120 SB-C18	Agilent	L1
Poroshell HPH-C18	Agilent	L1
Premier C18	Shimadzu	L1
Prep Nova-Pak HR C18	Waters Corp.	L1
Presto FF-C18	Imtakt	L1
Prevail C18 Select	Hichrom	L1
Prevail C18	Hichrom	L1
Prevail OA	Hichrom	L1
PrimeSphere C18-HC	Phenomenex	L1
Prodigy ODS(3)	Phenomenex	L1
Prodigy C18	Phenomenex	L1
Prodigy ODS	Phenomenex	L1
Prodigy ODS(2)	Phenomenex	L1
Prodigy ODS(3)	Phenomenex	L1
ProntoSil C18	Mac-Mod	L1
ProntoSIL C18 ace-EPS	Bischoff Chromatography	L1
ProntoSIL C18 AQ	Bischoff Chromatography	L1
ProntoSIL C18 AQ Plus	Bischoff Chromatography	L1
ProntoSIL C18 H	Bischoff Chromatography	L1
ProntoSIL C18 SH	Bischoff Chromatography	L1
ProSphere 300 C18	Dr. Maisch	L1
ProSphere 300 PAH	Dr. Maisch	L1
ProSphere HP C18	Dr. Maisch	L1
ProSphere HP C18 AQ	Dr. Maisch	L1
ProSphere HP C18 ZAP!	Dr. Maisch	L1
ProteCol-G C18 HQ203	SGE Analytical Science	L1
ProteCol-P C18 GP125	SGE Analytical Science	L1
ProteCol-P C18 HPH125	SGE Analytical Science	L1
ProteCol-P C18 HQ105	SGE Analytical Science	L1
Puritas Eximius C18	Chromachemie	L1
PURITAS EXIMIUS C18	Chromachemie	L1
Purospher RP-18	Merck KGaA	L1
Purospher RP18e	Merck KGaA	L1
Purospher STAR RP18e	Merck KGaA	L1
Purspher STAR LP RP-18	Merck KgaA	L1
Pursuit C18	Agilent	L1
Pursuit XRs C18	Agilent	L1
Quasar AQ	PerkinElmer	L1
Quasar C18	PerkinElmer	L1
Radial Pak Resolve C18	Waters Associates	L1
Radial-Pak C18	Waters Corp.	L1
Raptor ARC-18	Restek Corp.	L1
Raptor C18	Restek Corp.	L1
Reduced Activity C18	not available	L1
Reprobond C18	Dr. Maisch	L1
Repropack C18	Dr. Maisch	L1
ReproShell C18	Dr. Maisch	L1
Reprosil 80 ODS-2	Dr. Maisch	L1
Reprosil Gold C18	Dr. Maisch	L1
Reprosil Saphir C18	Dr. Maisch	L1
Reprosil-Pur Basic C18 (HD)	Dr. Maisch	L1
Reprosil-Pur ODS-3	Dr. Maisch	L1
Reprospher C18 (DE)	Dr. Maisch	L1
Reprospher Si	Dr. Maisch	L1
Resolve C18	Waters Corp.	L1
Resolvex C18	Fisher Scientific	L1
Rexchrom Workhorse II	Regis Technologies	L1
Roc C18	Restek Corp.	L1
RSil C18	Alltech Associates	L1
Sarasep P C18	Transgenomic, Inc.	L1
