id	name	formula	rt	pubchem.cid	pubchem.smiles.isomeric	pubchem.smiles.canonical	pubchem.inchi	pubchem.inchikey	id.chebi	id.hmdb	id.hmdb.1	id.lipidmaps	id.kegg	comment
0206_00011	"11,""w/o MS2:Myricetin"	C15H10O8	2.3	5281672		C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O	InChI=1S/C15H10O8/c16-6-3-7(17)11-10(4-6)23-15(14(22)13(11)21)5-1-8(18)12(20)9(19)2-5/h1-4,16-20,22H	IKMDFBPHZNJCSN-UHFFFAOYSA-N						
0206_00012	"12,""w/o MS2:Indole-3-acetyl-L-valine"	C15H18N2O3	2.405	5165230		CC(C)C(C(=O)O)NC(=O)CC1=CNC2=CC=CC=C21	InChI=1S/C15H18N2O3/c1-9(2)14(15(19)20)17-13(18)7-10-8-16-12-6-4-3-5-11(10)12/h3-6,8-9,14,16H,7H2,1-2H3,(H,17,18)(H,19,20)	AZEGJHGXTSUPPG-UHFFFAOYSA-N						
0206_00013	"13,""w/o MS2:Cilastatin"	C16H26N2O5S	3.46	104867		CC1(CC1C(=O)NC(=CCCCCSCC(C(=O)O)N)C(=O)O)C	InChI=1S/C16H26N2O5S/c1-16(2)8-10(16)13(19)18-12(15(22)23)6-4-3-5-7-24-9-11(17)14(20)21/h6,10-11H,3-5,7-9,17H2,1-2H3,(H,18,19)(H,20,21)(H,22,23)	DHSUYTOATWAVLW-UHFFFAOYSA-N						
0206_00014	"14,""w/o MS2:Lincomycin"	C18H34N2O6S	0.583	3928		CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)O	InChI=1S/C18H34N2O6S/c1-5-6-10-7-11(20(3)8-10)17(25)19-12(9(2)21)16-14(23)13(22)15(24)18(26-16)27-4/h9-16,18,21-24H,5-8H2,1-4H3,(H,19,25)	OJMMVQQUTAEWLP-UHFFFAOYSA-N						
0206_00015	"15,""w/o MS2:Casticin"	C16H18O8	0.608	5315263		COC1=C(C=C(C=C1)C2=C(C(=O)C3=C(C(=C(C=C3O2)OC)OC)O)OC)O	InChI=1S/C19H18O8/c1-23-11-6-5-9(7-10(11)20)17-19(26-4)16(22)14-12(27-17)8-13(24-2)18(25-3)15(14)21/h5-8,20-21H,1-4H3	PJQLSMYMOKWUJG-UHFFFAOYSA-N						
0206_00016	"16,""w/o MS2:Dehydroepiandrosterone"	C19H28O2	4.078	76		CC12CCC3C(C1CCC2=O)CC=C4C3(CCC(C4)O)C	InChI=1S/C19H28O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h3,13-16,20H,4-11H2,1-2H3	FMGSKLZLMKYGDP-UHFFFAOYSA-N						
0206_00017	"17,""w/o MS2:Perindopril"	C19H32N2O5	0.401	4169159		CCCC(C(=O)OCC)NC(C)C(=O)N1C2CCCCC2CC1C(=O)O	InChI=1S/C19H32N2O5/c1-4-8-14(19(25)26-5-2)20-12(3)17(22)21-15-10-7-6-9-13(15)11-16(21)18(23)24/h12-16,20H,4-11H2,1-3H3,(H,23,24)	IPVQLZZIHOAWMC-UHFFFAOYSA-N						
0206_00018	"18,""w/o MS2:Chloridazone-methyl-desphenyl"	C5H6ClN3O	13.085	594330		CN1C(=O)C(=C(C=N1)N)Cl	InChI=1S/C5H6ClN3O/c1-9-5(10)4(6)3(7)2-8-9/h2H,7H2,1H3	XNSGCNYTNLWRKM-UHFFFAOYSA-N						
0206_00019	"19,""w/o MS2:trans-2-Hexenal"	C6H10O	3.414	10460		CCCC=CC=O	InChI=1S/C6H10O/c1-2-3-4-5-6-7/h4-6H,2-3H2,1H3	MBDOYVRWFFCFHM-UHFFFAOYSA-N						
0206_00020	"20,""w/o MS2:Diglyme"	C6H14O3	13.031	8150		COCCOCCOC	InChI=1S/C6H14O3/c1-7-3-5-9-6-4-8-2/h3-6H2,1-2H3	SBZXBUIDTXKZTM-UHFFFAOYSA-N						
0206_00021	"21,""w/o MS2:D-Sorbitol 6-phosphate"	C6H15O9P	5.127	618		C(C(C(C(C(COP(=O)(O)O)O)O)O)O)O	InChI=1S/C6H15O9P/c7-1-3(8)5(10)6(11)4(9)2-15-16(12,13)14/h3-11H,1-2H2,(H2,12,13,14)	GACTWZZMVMUKNG-UHFFFAOYSA-N						
0206_00022	"22,""w/o MS2:Benzothiazole"	C7H5NS	13.0	7222		C1=CC=C2C(=C1)N=CS2	InChI=1S/C7H5NS/c1-2-4-7-6(3-1)8-5-9-7/h1-5H	IOJUPLGTWVMSFF-UHFFFAOYSA-N						
0206_00023	"23,""w/o MS2:Anthranilic acid"	C7H7NO2	0.507	227		C1=CC=C(C(=C1)C(=O)O)N	InChI=1S/C7H7NO2/c8-6-4-2-1-3-5(6)7(9)10/h1-4H,8H2,(H,9,10)	RWZYAGGXGHYGMB-UHFFFAOYSA-N						
0206_00024	"24,""w/o MS2:Phthalic anhydride"	C8H4O3	7.179	6811		C1=CC=C2C(=C1)C(=O)OC2=O	InChI=1S/C8H4O3/c9-7-5-3-1-2-4-6(5)8(10)11-7/h1-4H	LGRFSURHDFAFJT-UHFFFAOYSA-N						
0206_00025	"25,""w/o MS2:Isatin"	C8H5NO2	0.543	7054		C1=CC=C2C(=C1)C(=O)C(=O)N2	InChI=1S/C8H5NO2/c10-7-5-3-1-2-4-6(5)9-8(7)11/h1-4H,(H,9,10,11)	JXDYKVIHCLTXOP-UHFFFAOYSA-N						
0206_00026	"26,""w/o MS2:Fenuron"	C9H12N2O	0.776	7560		CN(C)C(=O)NC1=CC=CC=C1	InChI=1S/C9H12N2O/c1-11(2)9(12)10-8-6-4-3-5-7-8/h3-7H,1-2H3,(H,10,12)	XXOYNJXVWVNOOJ-UHFFFAOYSA-N						
0206_00027	"27,""w/o MS2:4-Isopropylaniline"	C9H13N	12.956	7464		CC(C)C1=CC=C(C=C1)N	InChI=1S/C9H13N/c1-7(2)8-3-5-9(10)6-4-8/h3-7H,10H2,1-2H3	LRTFPLFDLJYEKT-UHFFFAOYSA-N						
0206_00028	"28,""w/o MS2:Gabapentin"	C9H17NO2	7.66	3446		C1CCC(CC1)(CC(=O)O)CN	InChI=1S/C9H17NO2/c10-7-9(6-8(11)12)4-2-1-3-5-9/h1-7,10H2,(H,11,12)	UGJMXCAKCUNAIE-UHFFFAOYSA-N						manual SMILES standardization
